rep,readout,dims,f1,f1_sd,shuffled,shuffled_sd,order,order_sd,t,chance,n_partitions,secs
wavlm_L0,meanstd,2048,0.3998,0.0103,,,,,,,25,19.8
wavlm_L0,basis8,8192,0.3654,0.0124,0.341,0.0149,0.0244,0.0175,6.98,,25,20.8
wavlm_L0,seg4,8192,0.4076,0.0112,0.4057,0.01,0.0019,0.0134,0.73,,25,28.4
wavlm_L1,meanstd,2048,0.4117,0.0098,,,,,,,25,19.1
wavlm_L1,basis8,8192,0.3891,0.0139,0.3614,0.0112,0.0277,0.0168,8.23,,25,16.0
wavlm_L1,seg4,8192,0.4366,0.0131,0.4181,0.0094,0.0185,0.0154,6.02,,25,23.9
wavlm_L2,meanstd,2048,0.4342,0.0132,,,,,,,25,14.4
wavlm_L2,basis8,8192,0.414,0.0104,0.3874,0.0129,0.0267,0.017,7.84,,25,15.0
wavlm_L2,seg4,8192,0.4455,0.0139,0.4406,0.01,0.0049,0.0172,1.42,,25,21.7
wavlm_L3,meanstd,2048,0.4226,0.0143,,,,,,,25,16.3
wavlm_L3,basis8,8192,0.4153,0.0096,0.3912,0.0099,0.0241,0.0142,8.51,,25,14.5
wavlm_L3,seg4,8192,0.441,0.0127,0.4297,0.0121,0.0113,0.0141,4.02,,25,20.3
wavlm_L4,meanstd,2048,0.4356,0.0111,,,,,,,25,14.4
wavlm_L4,basis8,8192,0.4359,0.0101,0.4016,0.0129,0.0343,0.0152,11.27,,25,14.4
wavlm_L4,seg4,8192,0.447,0.0118,0.4345,0.0117,0.0125,0.0146,4.29,,25,20.2
wavlm_L5,meanstd,2048,0.4389,0.0123,,,,,,,25,15.4
wavlm_L5,basis8,8192,0.444,0.0107,0.3968,0.0125,0.0472,0.015,15.74,,25,14.4
wavlm_L5,seg4,8192,0.4437,0.0119,0.4353,0.0152,0.0084,0.0169,2.48,,25,20.5
wavlm_L6,meanstd,2048,0.4568,0.0114,,,,,,,25,16.3
wavlm_L6,basis8,8192,0.4669,0.0111,0.4015,0.0081,0.0654,0.0138,23.64,,25,14.5
wavlm_L6,seg4,8192,0.4665,0.0134,0.467,0.0156,-0.0005,0.0146,-0.19,,25,20.1
wavlm_L7,meanstd,2048,0.4612,0.0143,,,,,,,25,15.0
wavlm_L7,basis8,8192,0.4782,0.0116,0.4075,0.0088,0.0707,0.0148,23.9,,25,14.8
wavlm_L7,seg4,8192,0.4808,0.0127,0.4763,0.0128,0.0045,0.0165,1.35,,25,21.4
wavlm_L8,meanstd,2048,0.4605,0.0104,,,,,,,25,14.8
wavlm_L8,basis8,8192,0.4828,0.0117,0.4066,0.01,0.0762,0.0174,21.94,,25,14.8
wavlm_L8,seg4,8192,0.4906,0.009,0.4758,0.014,0.0148,0.0166,4.46,,25,21.5
wavlm_L9,meanstd,2048,0.4728,0.0104,,,,,,,25,16.7
wavlm_L9,basis8,8192,0.484,0.0107,0.4193,0.0104,0.0648,0.0154,21.02,,25,15.8
