DOES STANCE SURVIVE A READOUT THAT RESPECTS TIME?
Representation held fixed, readout varied. 'shuffled' applies the same
readout to frame-shuffled clips, so it matches on dimensionality and on
every feature's marginal distribution but destroys order.

Every score is the mean over 25 independent episode-to-fold
partitions, with its sd. A single partition is not a stable measurement:
holding everything else constant, fold assignment alone moves macro-F1 by
sd 0.010 and range up to 0.06, and sklearn changed its own assignment
between 1.7 and 1.9. Partitions are defined here, not by GroupKFold, so
these numbers do not depend on which sklearn is installed.

'order' is PAIRED: real minus shuffled on each partition separately, then
averaged. Partition noise is shared by both and cancels, so its sd is much
smaller than the sd of either column. t is order / stderr(order).
========================================================================================================
representation readout     dims  macroF1      ±  shuffled      ±   order      ±      t  chance
wavlm_L0       meanstd     2048    0.400  0.010         —      —       —      —      —     nan
wavlm_L0       basis8      8192    0.365  0.012     0.341  0.015  +0.024  0.018    7.0     nan
wavlm_L0       seg4        8192    0.408  0.011     0.406  0.010  +0.002  0.013    0.7     nan
wavlm_L1       meanstd     2048    0.412  0.010         —      —       —      —      —     nan
wavlm_L1       basis8      8192    0.389  0.014     0.361  0.011  +0.028  0.017    8.2     nan
wavlm_L1       seg4        8192    0.437  0.013     0.418  0.009  +0.019  0.015    6.0     nan
wavlm_L2       meanstd     2048    0.434  0.013         —      —       —      —      —     nan
wavlm_L2       basis8      8192    0.414  0.010     0.387  0.013  +0.027  0.017    7.8     nan
wavlm_L2       seg4        8192    0.445  0.014     0.441  0.010  +0.005  0.017    1.4     nan
wavlm_L3       meanstd     2048    0.423  0.014         —      —       —      —      —     nan
wavlm_L3       basis8      8192    0.415  0.010     0.391  0.010  +0.024  0.014    8.5     nan
wavlm_L3       seg4        8192    0.441  0.013     0.430  0.012  +0.011  0.014    4.0     nan
wavlm_L4       meanstd     2048    0.436  0.011         —      —       —      —      —     nan
wavlm_L4       basis8      8192    0.436  0.010     0.402  0.013  +0.034  0.015   11.3     nan
wavlm_L4       seg4        8192    0.447  0.012     0.435  0.012  +0.013  0.015    4.3     nan
wavlm_L5       meanstd     2048    0.439  0.012         —      —       —      —      —     nan
wavlm_L5       basis8      8192    0.444  0.011     0.397  0.012  +0.047  0.015   15.7     nan
wavlm_L5       seg4        8192    0.444  0.012     0.435  0.015  +0.008  0.017    2.5     nan
wavlm_L6       meanstd     2048    0.457  0.011         —      —       —      —      —     nan
wavlm_L6       basis8      8192    0.467  0.011     0.402  0.008  +0.065  0.014   23.6     nan
wavlm_L6       seg4        8192    0.466  0.013     0.467  0.016  -0.001  0.015   -0.2     nan
wavlm_L7       meanstd     2048    0.461  0.014         —      —       —      —      —     nan
wavlm_L7       basis8      8192    0.478  0.012     0.407  0.009  +0.071  0.015   23.9     nan
wavlm_L7       seg4        8192    0.481  0.013     0.476  0.013  +0.004  0.017    1.4     nan
wavlm_L8       meanstd     2048    0.460  0.010         —      —       —      —      —     nan
wavlm_L8       basis8      8192    0.483  0.012     0.407  0.010  +0.076  0.017   21.9     nan
wavlm_L8       seg4        8192    0.491  0.009     0.476  0.014  +0.015  0.017    4.5     nan
wavlm_L9       meanstd     2048    0.473  0.010         —      —       —      —      —     nan
wavlm_L9       basis8      8192    0.484  0.011     0.419  0.010  +0.065  0.015   21.0     nan
wavlm_L9       seg4        8192    0.505  0.014     0.473  0.011  +0.032  0.017    9.2     nan
wavlm_L10      meanstd     2048    0.479  0.013         —      —       —      —      —     nan
wavlm_L10      basis8      8192    0.492  0.011     0.412  0.010  +0.080  0.018   22.4     nan
wavlm_L10      seg4        8192    0.512  0.009     0.478  0.013  +0.035  0.018    9.7     nan
wavlm_L11      meanstd     2048    0.483  0.011         —      —       —      —      —     nan
wavlm_L11      basis8      8192    0.496  0.011     0.418  0.011  +0.078  0.015   26.3     nan
wavlm_L11      seg4        8192    0.526  0.011     0.489  0.010  +0.037  0.014   13.0     nan
wavlm_L12      meanstd     2048    0.496  0.013         —      —       —      —      —     nan
wavlm_L12      basis8      8192    0.493  0.008     0.434  0.011  +0.058  0.014   21.0     nan
wavlm_L12      seg4        8192    0.543  0.014     0.493  0.010  +0.050  0.016   15.5     nan
wavlm_L13      meanstd     2048    0.498  0.014         —      —       —      —      —     nan
wavlm_L13      basis8      8192    0.517  0.009     0.432  0.010  +0.085  0.012   35.8     nan
wavlm_L13      seg4        8192    0.550  0.012     0.494  0.009  +0.056  0.013   20.9     nan
wavlm_L14      meanstd     2048    0.499  0.013         —      —       —      —      —     nan
wavlm_L14      basis8      8192    0.538  0.009     0.433  0.011  +0.105  0.015   34.0     nan
wavlm_L14      seg4        8192    0.547  0.011     0.497  0.013  +0.049  0.015   16.6     nan
wavlm_L15      meanstd     2048    0.511  0.010         —      —       —      —      —     nan
wavlm_L15      basis8      8192    0.541  0.011     0.436  0.012  +0.104  0.016   32.8     nan
wavlm_L15      seg4        8192    0.559  0.009     0.501  0.010  +0.058  0.013   22.4     nan
wavlm_L16      meanstd     2048    0.524  0.012         —      —       —      —      —     nan
wavlm_L16      basis8      8192    0.549  0.012     0.438  0.013  +0.110  0.014   38.9     nan
wavlm_L16      seg4        8192    0.580  0.006     0.521  0.011  +0.059  0.013   22.6     nan
wavlm_L17      meanstd     2048    0.517  0.012         —      —       —      —      —     nan
wavlm_L17      basis8      8192    0.536  0.015     0.433  0.013  +0.103  0.017   31.0     nan
wavlm_L17      seg4        8192    0.576  0.010     0.523  0.014  +0.053  0.018   14.8     nan
