rep,readout,dims,f1,f1_sd,shuffled,shuffled_sd,order,order_sd,t,chance,n_partitions,secs
wavlm_L20,meanstd,2048,0.5573,0.0094,,,,,,,25,5.3
wavlm_L20,basis2,2048,0.5134,0.0138,0.4942,0.0161,0.0192,0.0203,4.73,,25,7.9
wavlm_L20,basis4,4096,0.5303,0.0096,0.4662,0.0108,0.0641,0.0151,21.22,,25,9.6
wavlm_L20,basis8,8192,0.5555,0.0106,0.4423,0.0094,0.1132,0.0127,44.6,,25,14.1
wavlm_L20,seg4,8192,0.5879,0.0102,0.5533,0.0096,0.0346,0.0123,14.05,,25,20.1
wavlm_L20,delta,4096,0.5609,0.0115,0.5227,0.0104,0.0382,0.0137,13.91,,25,16.5
hubert_L23,meanstd,2048,0.5052,0.0125,,,,,,,25,5.3
hubert_L23,basis2,2048,0.4571,0.0144,0.4343,0.0107,0.0228,0.0159,7.2,,25,9.8
hubert_L23,basis4,4096,0.4833,0.0143,0.4185,0.0132,0.0648,0.0191,16.97,,25,12.5
hubert_L23,basis8,8192,0.4902,0.0116,0.4041,0.0144,0.0861,0.0202,21.3,,25,17.6
hubert_L23,seg4,8192,0.5263,0.0136,0.4923,0.0115,0.034,0.018,9.43,,25,24.6
hubert_L23,delta,4096,0.4854,0.0086,0.4842,0.014,0.0012,0.0168,0.37,,25,18.6
whisper_L9,meanstd,1536,0.548,0.0115,,,,,,,25,10.6
whisper_L9,basis2,1536,0.4972,0.0154,0.5006,0.013,-0.0033,0.0197,-0.84,,25,5.6
whisper_L9,basis4,3072,0.5216,0.0146,0.4797,0.0122,0.0419,0.015,13.97,,25,6.8
whisper_L9,basis8,6144,0.5213,0.0101,0.4512,0.0124,0.0701,0.0149,23.59,,25,10.6
whisper_L9,seg4,6144,0.5766,0.0135,0.5501,0.0105,0.0265,0.0139,9.53,,25,17.0
whisper_L9,delta,3072,0.515,0.0099,0.5326,0.014,-0.0176,0.0154,-5.71,,25,14.6
mimi_pre,meanstd,1024,0.468,0.0145,,,,,,,25,2.2
mimi_pre,basis2,1024,0.4312,0.013,0.4214,0.0119,0.0097,0.0172,2.82,,25,4.9
mimi_pre,basis4,2048,0.4592,0.0117,0.3973,0.0147,0.0619,0.0198,15.66,,25,7.4
mimi_pre,basis8,4096,0.4556,0.0119,0.3759,0.0161,0.0797,0.0182,21.93,,25,10.3
mimi_pre,seg4,4096,0.4721,0.011,0.443,0.0077,0.0291,0.0126,11.6,,25,11.3
mimi_pre,delta,2048,0.4693,0.0129,0.4357,0.01,0.0336,0.0175,9.61,,25,8.1
mimi_post,meanstd,1024,0.4417,0.015,,,,,,,25,4.3
mimi_post,basis2,1024,0.4104,0.0131,0.4059,0.014,0.0045,0.0235,0.95,,25,6.7
mimi_post,basis4,2048,0.433,0.0138,0.3875,0.0162,0.0455,0.0253,8.99,,25,8.5
mimi_post,basis8,4096,0.4348,0.0127,0.3865,0.0115,0.0482,0.0186,12.98,,25,11.8
mimi_post,seg4,4096,0.4458,0.0108,0.4213,0.0123,0.0244,0.0154,7.92,,25,12.1
mimi_post,delta,2048,0.4553,0.0122,0.4433,0.0135,0.012,0.0155,3.86,,25,8.8
dac_pre,meanstd,2048,0.4039,0.0143,,,,,,,25,25.1
dac_pre,basis2,2048,0.3626,0.0125,0.3409,0.0089,0.0217,0.014,7.78,,25,37.2
dac_pre,basis4,4096,0.3578,0.0117,0.3508,0.0143,0.007,0.0189,1.85,,25,34.2
dac_pre,basis8,8192,0.3423,0.0122,0.3498,0.0135,-0.0075,0.0195,-1.92,,25,37.1
dac_pre,seg4,8192,0.3961,0.0143,0.3722,0.009,0.0239,0.0153,7.81,,25,34.3
dac_pre,delta,4096,0.3883,0.0157,0.3866,0.0131,0.0016,0.02,0.4,,25,29.1
dac_post,meanstd,2048,0.3807,0.0121,,,,,,,25,29.1
dac_post,basis2,2048,0.3437,0.0098,0.357,0.0125,-0.0132,0.0154,-4.29,,25,12.4
dac_post,basis4,4096,0.3479,0.0113,0.3657,0.0121,-0.0178,0.0193,-4.59,,25,69.2
dac_post,basis8,8192,0.3532,0.0121,0.371,0.0129,-0.0178,0.018,-4.93,,25,49.2
dac_post,seg4,8192,0.3994,0.011,0.3789,0.0125,0.0205,0.0168,6.1,,25,36.1
dac_post,delta,4096,0.3939,0.0142,0.3772,0.0122,0.0167,0.0151,5.53,,25,31.6
sylber,meanstd,1536,0.4461,0.0115,,,,,,,25,7.1
sylber,basis2,1536,0.4123,0.013,0.4045,0.0121,0.0078,0.0158,2.49,,25,3.5
sylber,basis4,3072,0.4152,0.0088,0.3999,0.0124,0.0153,0.0109,7.03,,25,4.8
sylber,basis8,6144,0.4189,0.0127,0.3764,0.0144,0.0424,0.0162,13.12,,25,7.6
sylber,seg4,6144,0.4423,0.0092,0.4186,0.0106,0.0237,0.0121,9.78,,25,10.0
sylber,delta,3072,0.4356,0.0125,0.4455,0.0135,-0.0099,0.0187,-2.66,,25,7.3
sylber,timing,9,0.3155,0.0107,,,,,,,25,0.2
dycast_pre,meanstd,64,0.4014,0.0092,,,,,,,25,0.5
dycast_pre,basis2,64,0.3774,0.0168,0.3789,0.0102,-0.0016,0.0218,-0.36,,25,0.4
dycast_pre,basis4,128,0.3758,0.0097,0.3682,0.0132,0.0076,0.0168,2.27,,25,0.5
dycast_pre,basis8,256,0.3706,0.0108,0.3453,0.0096,0.0252,0.0144,8.74,,25,1.2
dycast_pre,seg4,256,0.3786,0.0125,0.3622,0.0122,0.0164,0.0166,4.97,,25,1.1
dycast_pre,delta,128,0.3988,0.0092,0.3831,0.0092,0.0157,0.0121,6.48,,25,0.6
dycast_pre,timing,9,0.3381,0.0092,,,,,,,25,0.2
dycast_post,meanstd,64,0.4029,0.0096,,,,,,,25,0.5
dycast_post,basis2,64,0.3803,0.0092,0.3903,0.0104,-0.01,0.0146,-3.44,,25,0.4
dycast_post,basis4,128,0.3806,0.0128,0.389,0.0132,-0.0084,0.0156,-2.69,,25,0.5
dycast_post,basis8,256,0.3704,0.0127,0.348,0.0125,0.0224,0.017,6.59,,25,1.1
dycast_post,seg4,256,0.3777,0.0121,0.3647,0.0128,0.013,0.0177,3.67,,25,1.1
dycast_post,delta,128,0.4056,0.0126,0.3837,0.0126,0.0218,0.016,6.82,,25,0.6
dycast_post,timing,9,0.3381,0.0092,,,,,,,25,0.2
mimi_codes,hist,16384,0.3699,0.0088,,,,,,,25,8.1
mimi_codes,runs,32,0.3341,0.0132,0.3365,0.0086,-0.0024,0.0172,-0.7,,25,0.9
mimi_codes,changes,8,0.3178,0.0124,0.3378,0.009,-0.02,0.0152,-6.56,,25,0.2
dycast_toks,hist,128,0.3924,0.0127,,,,,,,25,0.6
dycast_toks,runs,128,0.321,0.0133,0.3537,0.0101,-0.0327,0.0154,-10.63,,25,2.8
dycast_toks,changes,32,0.3239,0.01,0.3706,0.0113,-0.0467,0.0144,-16.16,,25,0.3
dycast_toks,timing,9,0.3381,0.0092,,,,,,,25,0.2
encodec_pre,meanstd,256,0.3956,0.0118,,,,,,,25,3.0
encodec_pre,basis2,256,0.375,0.0115,0.3656,0.0089,0.0094,0.0142,3.32,,25,3.4
encodec_pre,basis4,512,0.3817,0.0158,0.3271,0.0111,0.0546,0.0176,15.53,,25,6.5
encodec_pre,basis8,1024,0.3689,0.0116,0.3359,0.0128,0.033,0.0168,9.84,,25,10.0
encodec_pre,seg4,1024,0.3976,0.0121,0.3839,0.0103,0.0137,0.0118,5.77,,25,11.3
encodec_pre,delta,512,0.3687,0.0127,0.3892,0.0115,-0.0205,0.0191,-5.38,,25,8.5
encodec_post,meanstd,256,0.4002,0.0098,,,,,,,25,2.2
encodec_post,basis2,256,0.3749,0.0145,0.3617,0.0089,0.0132,0.0172,3.85,,25,4.5
encodec_post,basis4,512,0.3769,0.0148,0.3305,0.0118,0.0464,0.0212,10.92,,25,8.9
encodec_post,basis8,1024,0.385,0.0125,0.3218,0.0151,0.0632,0.0211,14.99,,25,15.0
encodec_post,seg4,1024,0.3961,0.0143,0.3602,0.0135,0.0359,0.0207,8.68,,25,16.4
encodec_post,delta,512,0.3734,0.0132,0.3747,0.0127,-0.0013,0.0186,-0.36,,25,12.1
